collectedEggs	startDate	sampleDate	age	id	larvalTreat	adultTreat	deadFemale	deadMale	censored	camera_id	numEggs	remark
2/8/2018	2/20/2018	4/9/2018	48	EE_C_DR1	C	DR	3	2	1	9863	20	
2/9/2018	2/20/2018	4/9/2018	48	EE_DR_DR2	DR	DR	18	7	2	9864	31	
2/9/2018	2/20/2018	4/9/2018	48	EE_DR_C2	DR	C	17	8	5	9859	23	
2/9/2018	2/20/2018	4/9/2018	48	EE_C_DR2	C	DR	7	11	3	9862	42	
2/9/2018	2/20/2018	4/9/2018	48	EE_C_C2	C	C	16	3	0	9858	12	
2/8/2018	2/20/2018	4/11/2018	50	EE_DR_DR1	DR	DR	5	0	3	9871	19	
2/8/2018	2/20/2018	4/11/2018	50	EE_DR_C1	DR	C	6	5	3	9869	21	
2/8/2018	2/20/2018	4/11/2018	50	EE_C_C1	C	C	5	4	3	9868	25	
2/8/2018	2/20/2018	4/11/2018	50	EE_C_DR1	C	DR	4	0	0	9873	18	
2/9/2018	2/20/2018	4/11/2018	50	EE_DR_DR2	DR	DR	9	5	5	9872	16	
2/9/2018	2/20/2018	4/11/2018	50	EE_DR_C2	DR	C	4	3	6	9867	23	
2/9/2018	2/20/2018	4/11/2018	50	EE_C_DR2	C	DR	7	5	0	9870	14	
2/9/2018	2/20/2018	4/11/2018	50	EE_C_C2	C	C	5	6	0	9866	22	
2/8/2018	2/20/2018	4/13/2018	52	EE_DR_DR1	DR	DR	1	2	3	9880	22	
2/8/2018	2/20/2018	4/13/2018	52	EE_DR_C1	DR	C	1	0	7	9877	21	
2/8/2018	2/20/2018	4/13/2018	52	EE_C_C1	C	C	2	4	1	9876	12	
2/8/2018	2/20/2018	4/13/2018	52	EE_C_DR1	C	DR	0	1	3	9878	6	
2/9/2018	2/20/2018	4/13/2018	52	EE_DR_DR2	DR	DR	5	4	1	9881	7	
2/9/2018	2/20/2018	4/13/2018	52	EE_DR_C2	DR	C	9	2	0	9874	16	
2/9/2018	2/20/2018	4/13/2018	52	EE_C_DR2	C	DR	8	2	1	9879	15	
